matrix_size,num_blocks,block_size,block_memory,scheduler,wall_time,real_time,max_rss_kb,run_number,timestamp
6144,4,1536,18874368,virtual-fifo,2.624798,3.95,1108020,3,2025-11-11T16:28:57.613629
6144,4,1536,18874368,virtual-fifo,2.612142,3.88,1118664,4,2025-11-11T16:29:03.664304
6144,8,768,4718592,sequential,1.086699,2.36,599352,0,2025-11-11T16:29:13.758356
6144,8,768,4718592,sequential,1.085987,2.36,601608,1,2025-11-11T16:29:17.800340
6144,8,768,4718592,sequential,1.090795,2.38,601680,2,2025-11-11T16:29:21.842624
6144,8,768,4718592,sequential,1.088182,2.35,600120,3,2025-11-11T16:29:25.884541
6144,8,768,4718592,sequential,1.088164,2.37,600120,4,2025-11-11T16:29:29.926052
6144,8,768,4718592,omp-task,0.417031,1.69,780464,0,2025-11-11T16:29:33.992618
6144,8,768,4718592,omp-task,0.37836,1.67,799220,1,2025-11-11T16:29:38.034918
6144,8,768,4718592,omp-task,0.401559,1.67,773976,2,2025-11-11T16:29:44.084951
6144,8,768,4718592,omp-task,0.391969,1.67,777496,3,2025-11-11T16:29:50.134197
6144,8,768,4718592,omp-task,0.395011,1.67,776828,4,2025-11-11T16:29:54.175173
6144,8,768,4718592,virtual-fifo,2.935367,4.22,1230600,0,2025-11-11T16:30:10.290237
6144,8,768,4718592,virtual-fifo,2.928319,4.19,1221748,1,2025-11-11T16:30:16.339118
6144,8,768,4718592,virtual-fifo,2.911841,4.2,1220772,2,2025-11-11T16:30:24.397583
6144,8,768,4718592,virtual-fifo,2.935192,4.23,1218272,4,2025-11-11T16:30:36.497648
6144,16,384,1179648,sequential,1.118264,2.42,599344,0,2025-11-11T16:30:48.598361
6144,16,384,1179648,sequential,1.119501,2.38,600136,1,2025-11-11T16:30:52.639017
6144,16,384,1179648,sequential,1.124326,2.41,598032,2,2025-11-11T16:30:56.680951
6144,16,384,1179648,sequential,1.12695,2.39,599756,3,2025-11-11T16:31:00.722647
6144,16,384,1179648,sequential,1.116787,2.39,600140,4,2025-11-11T16:31:04.763939
6144,16,384,1179648,omp-task,0.20757,1.52,761196,0,2025-11-11T16:31:10.840239
6144,16,384,1179648,omp-task,0.203783,1.47,765072,1,2025-11-11T16:31:14.884068
6144,16,384,1179648,omp-task,0.214746,1.52,762292,2,2025-11-11T16:31:18.926422
6144,16,384,1179648,omp-task,0.220253,1.51,769124,3,2025-11-11T16:31:22.967897
6144,16,384,1179648,omp-task,0.218673,1.5,765108,4,2025-11-11T16:31:27.011166
6144,16,384,1179648,virtual-fifo,3.888974,5.18,1410972,0,2025-11-11T16:31:45.139670
6144,16,384,1179648,virtual-fifo,3.886122,5.16,1424264,1,2025-11-11T16:31:53.198701
6144,16,384,1179648,virtual-fifo,3.88993,5.15,1415828,2,2025-11-11T16:32:01.258673
6144,32,192,294912,sequential,1.103405,2.39,599744,0,2025-11-11T16:32:25.461483
6144,32,192,294912,sequential,1.104205,2.36,599348,1,2025-11-11T16:32:29.503760
6144,32,192,294912,sequential,1.108175,2.38,598968,2,2025-11-11T16:32:35.554364
6144,32,192,294912,sequential,1.097458,2.37,599356,3,2025-11-11T16:32:39.595932
6144,32,192,294912,sequential,1.102898,2.37,598916,4,2025-11-11T16:32:43.638190
6144,32,192,294912,omp-task,0.123091,1.43,779748,0,2025-11-11T16:32:49.713722
6144,32,192,294912,omp-task,0.127244,1.4,786100,1,2025-11-11T16:32:51.747411
6144,32,192,294912,omp-task,0.123627,1.42,786108,2,2025-11-11T16:32:55.789128
6144,32,192,294912,omp-task,0.125127,1.42,789572,3,2025-11-11T16:32:57.823153
6144,32,192,294912,omp-task,0.123281,1.43,779424,4,2025-11-11T16:33:01.864825
8192,1,8192,536870912,sequential,2.317001,5.33,1082348,0,2025-11-11T16:33:13.968696
8192,1,8192,536870912,sequential,2.329394,5.39,1081004,1,2025-11-11T16:33:20.018720
8192,1,8192,536870912,sequential,2.326494,5.4,1082048,2,2025-11-11T16:33:28.078824
8192,1,8192,536870912,sequential,2.31656,5.36,1082392,3,2025-11-11T16:33:38.146342
8192,1,8192,536870912,sequential,2.321213,5.41,1081936,4,2025-11-11T16:33:46.204174
8192,1,8192,536870912,omp-task,5.255907,8.27,1153232,0,2025-11-11T16:34:10.353542
8192,1,8192,536870912,omp-task,5.23206,8.3,1166020,1,2025-11-11T16:34:20.421627
8192,1,8192,536870912,omp-task,5.257409,8.38,1150376,2,2025-11-11T16:34:32.495673
8192,1,8192,536870912,omp-task,5.2984,8.43,1169064,4,2025-11-11T16:34:52.630230
8192,1,8192,536870912,virtual-fifo,5.433156,8.52,1691828,0,2025-11-11T16:35:16.780802
8192,1,8192,536870912,virtual-fifo,5.435717,8.64,1673524,1,2025-11-11T16:35:28.854850
8192,1,8192,536870912,virtual-fifo,5.483695,8.59,1678144,2,2025-11-11T16:35:40.928861
8192,1,8192,536870912,virtual-fifo,5.44965,8.62,1676056,3,2025-11-11T16:35:50.992560
8192,1,8192,536870912,virtual-fifo,5.425827,8.5,1670800,4,2025-11-11T16:36:01.055216
8192,2,4096,134217728,sequential,2.346117,5.4,1069480,0,2025-11-11T16:36:17.170158
8192,2,4096,134217728,sequential,2.345534,5.46,1070116,1,2025-11-11T16:36:25.228555
8192,2,4096,134217728,sequential,2.357136,5.49,1068760,2,2025-11-11T16:36:33.286329
8192,2,4096,134217728,sequential,2.346706,5.37,1068996,3,2025-11-11T16:36:41.343123
8192,2,4096,134217728,sequential,2.344687,5.39,1069096,4,2025-11-11T16:36:49.400672
8192,2,4096,134217728,omp-task,5.30061,8.32,1141100,0,2025-11-11T16:37:11.539446
8192,2,4096,134217728,omp-task,5.30152,8.55,1138920,1,2025-11-11T16:37:23.614695
8192,2,4096,134217728,omp-task,5.306443,8.34,1140244,2,2025-11-11T16:37:33.680982
8192,2,4096,134217728,omp-task,5.303984,8.42,1149004,3,2025-11-11T16:37:45.755329
